transaction_ref,transaction_cur,timestamp_ref_ns,timestamp_cur_ns,scan_ref_ns,scan_cur_ns,eval_time_s,mismatch_ref_ms,mismatch_cur_ms,image_dt_s,scan_dt_s,attempted,status,detected,klt_valid,klt_forward_valid,fb_valid,depth_associated,pnp_correspondences,pnp_inliers,inlier_ratio,reprojection_rmse_px,feature_ms,klt_ms,depth_ms,projection_ms,association_ms,pnp_ms,preprocess_ms,total_ms,T_Ccur_Cref_00,T_Ccur_Cref_01,T_Ccur_Cref_02,T_Ccur_Cref_03,T_Ccur_Cref_10,T_Ccur_Cref_11,T_Ccur_Cref_12,T_Ccur_Cref_13,T_Ccur_Cref_20,T_Ccur_Cref_21,T_Ccur_Cref_22,T_Ccur_Cref_23,visual_t_error_m,visual_r_error_deg,visual_scan_gt_t_error_m,visual_scan_gt_r_error_deg,camera_t_error_m,camera_r_error_deg,visual_relative_t_m,visual_relative_r_deg,visual_camera_relative_t_m,visual_camera_relative_r_deg,gt_relative_t_m,gt_relative_r_deg,gt_camera_relative_t_m,gt_camera_relative_r_deg,ikfom_t_error_m,ikfom_r_error_deg,paired_evaluable,e_visual_x,e_visual_y,e_visual_z,e_visual_roll,e_visual_pitch,e_visual_yaw,e_ikfom_x,e_ikfom_y,e_ikfom_z,e_ikfom_roll,e_ikfom_pitch,e_ikfom_yaw,ikfom_ref_image_offset_ms,ikfom_cur_image_offset_ms,image_minus_ikfom_dt_ms,ikfom_matched_dt_s,directional_evaluable
11,12,1660857394723268574,1660857394804753086,1660857394710630253,1660857394811489418,1.613682508468628,12.638321,-6.736332,0.08148451200000001,0.100859165,1,VALID,183,172,182,172,41,41,39,0.9512195121951219,0.04705630073847204,6.857359985588118,4.485248995479196,3.659088019048795,2.209380007116124,1.4351810095831752,0.4177939845249057,3.8482900126837194,19.292995013529435,0.9999999995820517,-2.855179645045559e-05,4.548800497092575e-06,-7.792977380492402e-05,2.855166612503276e-05,0.9999999991820474,2.864799326811373e-05,9.387992059902299e-06,-4.549618445018755e-06,-2.8647863380311352e-05,0.9999999995793004,-6.344922336390479e-05,0.004035299472474166,0.10017306315521099,0.004985894726425156,0.12440894775487026,0.004044591118907074,0.10017306315520874,0.00010056276610440643,0.0023320159785834636,0.00010093060975584212,0.002332015978583507,0.003998789614784068,0.10193789888360326,0.004008327222759182,0.10193789888360326,0.03771628520157797,0.1255032158549486,1,0.003855466510069769,0.0011909973639681437,2.3347404602128648e-05,0.09986917296357933,0.007796721122200737,5.2344718859387536e-05,0.03726487430485561,0.005764102473569937,0.0007889455775064647,0.12485128485379698,0.012767106759120824,0.000477702565709647,-12.638396,6.736496,-19.374891999999992,0.100859404,1
12,13,1660857394804753086,1660857394926956902,1660857394811489418,1660857394912349299,1.7145421504974365,-6.736332,14.607603,0.122203816,0.10085988100000001,1,VALID,174,152,174,152,37,37,35,0.9459459459459459,0.041000728345969184,4.368891997728497,5.043426004704088,3.8322960026562214,2.3308350064326078,1.4858179783914238,0.417934003053233,3.826150990789756,17.518031992949545,0.9999999941710531,3.905965663919061e-05,-0.00010065901348482033,0.00039823860478104233,-3.905662424495101e-05,0.9999999987834659,3.012720161739926e-05,-0.00014053006833484037,0.00010066019012051096,-3.012327004053931e-05,0.9999999944800574,7.00621761487733e-05,0.012313516975879058,0.13520039304711437,0.010483198439432835,0.11120835272458941,0.012320893616549377,0.1352003930470966,0.0004469015933756819,0.006422604811858507,0.00042807872520232525,0.006422604811858496,0.012434483038336337,0.1323668727048487,0.012435665196969748,0.13236687270484865,0.04584839286437413,0.10795721806399045,1,0.012151815913623227,-0.0015747956335862329,-0.0012149440436138997,0.1331955279465277,0.010695157762012665,-0.02057182492726913,0.045745162841346776,0.0030737455412370787,8.540030669937132e-05,0.1066584283171092,0.011290077553129841,-0.012288879369553451,6.736496,-14.607678,21.344174000000006,0.100859642,1
13,14,1660857394926956902,1660857395008447158,1660857394912349299,1660857395013154343,1.81534743309021,14.607603,-4.707185,0.08149025600000001,0.10080504400000001,1,VALID,168,156,168,156,38,38,34,0.8947368421052632,0.03803956847267681,4.116064985282719,4.433355992659926,3.628706996096298,2.1865409798920155,1.4267999795265496,0.49608698463998735,2.759106020675972,15.460769005585462,0.9999999993741185,-2.476860564847553e-05,-2.5264184673240205e-05,3.031613689115865e-05,2.4768770061922784e-05,0.9999999996720804,6.507475754697796e-06,4.290454292733527e-05,2.526402348385698e-05,-6.508101513397588e-06,0.9999999996596869,-0.00014445065995209586,0.008702034386785672,0.08625878819544697,0.010733582060896826,0.10699630604476476,0.008706026989316133,0.0862587881954437,0.00015348844112599382,0.0020611468174721783,0.00015370706268874913,0.002061146817472232,0.008571544843501314,0.08750580458150707,0.008573044291173762,0.0875058045815071,0.04811577475374711,0.10768090760167047,1,0.0085522190210642,-0.0014414669885921831,-0.0007121272395765738,0.08507023306229879,0.00785860371508143,-0.011905354257165397,0.047975981244529134,0.0036601954638232313,0.00018966534877164784,0.10627686328365207,0.012301041159801008,-0.01219886569994358,-14.607678,4.707349,-19.315026999999997,0.10080528300000001,1
14,15,1660857395008447158,1660857395130652646,1660857395013154343,1660857395114014462,1.9162075519561768,-4.707185,16.638184,0.122205488,0.10086011900000001,1,VALID,157,142,157,142,30,30,27,0.9,0.11702076563451583,4.183740995358676,4.354505013907328,3.6118059942964464,2.1916400000918657,1.4004709955770522,0.486799021018669,2.7474419912323356,15.40803798707202,0.9999999890187578,7.439864050476255e-05,-0.00012816913355137064,0.0002560061377791201,-7.43825705283526e-05,0.9999999893733911,0.00012538122247749212,-0.00016788301549494012,0.00012817846038184666,-0.0001253716875510529,0.999999983926111,0.00010479224622438983,0.00948386686187873,0.10557762822777182,0.00854013869347402,0.08762268980403184,0.00941840336125658,0.10557762822778335,0.00035628432704535657,0.011122133632708829,0.00032358192832883804,0.011122133632708824,0.009362320139111093,0.09861302851307277,0.009311785804420804,0.09861302851307274,0.0319268818481739,0.07871455958954564,1,-0.009061180380353912,-0.0011885222137668374,-0.0025349863344629056,0.10017247784649777,-0.025023087108510336,-0.022066287451414677,0.03154294069101566,0.004865060542713491,-0.0008365781649415274,0.07652626909606332,-0.014504149462861805,-0.011382540783135347,4.707349,-16.63802,21.345368999999987,0.10086011900000001,1
15,16,1660857395130652646,1660857395212127838,1660857395114014462,1660857395214874342,2.0170674324035645,16.638184,-2.746504,0.081475192,0.10085988000000001,1,VALID,175,161,175,161,36,36,32,0.8888888888888888,0.4713765896951439,7.270544010680169,4.078001016750932,3.962482005590573,2.5156369956675917,1.4321079943329096,0.5202529719099402,2.800241985823959,18.65149597870186,0.9999997572454785,-0.0006283149574345809,0.00030121304472921956,-0.0016132409390054385,0.0006286173922294036,0.9999992973921785,-0.001005015086227246,0.0028863298371337273,-0.000300581367083474,0.0010052041900139668,0.9999994496075376,0.0014711648545595922,0.0085162746630523,0.05277073042432287,0.009999938512993817,0.059362597062212204,0.008510817300837253,0.05277073042440668,0.003788520261120276,0.07007334718175222,0.0036190844540163612,0.07007334718175223,0.006801431334611775,0.06501303595024753,0.006768309513149423,0.06501303595024747,0.03394754651072722,0.07848328490407834,1,-0.007977072694015399,-0.002566683462150255,0.0015183482393920304,0.026743452936311914,0.045023351849191505,0.006524772925436313,0.03351375514592151,0.00535052517591488,-0.0007975026389350391,0.0760958151412306,-0.014789565021192603,-0.012270402133455195,-16.63802,2.746668,-19.38468800000001,0.10085988000000001,1
16,17,1660857395212127838,1660857395334336774,1660857395214874342,1660857395315734461,2.1179275512695312,-2.746504,18.602313,0.122208936,0.10086011900000001,1,VALID,172,155,172,155,37,37,30,0.8108108108108109,0.11489674270798253,9.21955399098806,4.063753003720194,4.225996002787724,2.4265880056191236,1.7810389981605113,0.7387880177702755,4.0258980297949165,22.29480104870163,0.9999999959816689,1.0230444528391236e-05,8.906177766290101e-05,-0.00022172061530838702,-1.0217206201906043e-05,0.9999999889006936,-0.00014864124995691357,0.0004298497791489378,-8.906329734044343e-05,0.0001486403393970743,0.9999999849868891,0.00017599437055795895,0.009919928271743386,0.045309348636415815,0.008219049516941336,0.04036583556365074,0.009919243482134037,0.04530934863640684,0.0005403768382343381,0.009945522206931163,0.0005146891123340502,0.009945522206931161,0.009755534747012727,0.044083800260155855,0.00974942418215697,0.04408380026015596,0.036061245370387435,0.04096183744774045,1,-0.009916261833621935,9.96663660240625e-05,0.00025058886461735503,-0.04089154575837889,0.018430265210475194,-0.006420931247491593,0.03530710136643145,0.007271158073136546,0.0009758437576195822,-0.038532086306085706,0.01032908629809453,-0.009301884253543924,2.746668,-18.602149,21.348816999999993,0.10086011900000001,1
17,18,1660857395334336774,1660857395415807742,1660857395315734461,1660857395416594341,2.218787431716919,18.602313,-0.786599,0.081470968,0.10085988000000001,1,VALID,186,174,186,174,35,35,32,0.9142857142857143,0.14779499684526187,5.406743002822623,4.5704560179729015,3.9157579885795712,2.478411013726145,1.4217720017768443,0.5005570128560066,4.45242301793769,18.865771999116987,0.9999999615604539,4.175397362104748e-05,-0.00027410891345788747,0.0007234889030343432,-4.168994250313527e-05,0.9999999718467473,0.000233598915500831,-0.0006002103046205217,0.0002741186594237905,-0.0002335874789365474,0.999999935147923,0.0006159915964120284,0.007243452134725385,0.03629022175875508,0.00877935591388701,0.04265185687804205,0.007211298148015845,0.03629022175873851,0.0011871837661131344,0.020772772508859706,0.001123892454568824,0.020772772508859692,0.006502889715697847,0.03145364602464034,0.006498703375283602,0.03145364602464022,0.03383381540379948,0.04081734147805722,1,-0.00713269109872875,0.0010074973599466508,-0.0007597799601687053,-0.027242475032157827,-0.006599757509641627,-0.02304774691793203,0.032982767701526944,0.007474569202844044,0.0009974541379861137,-0.0384989984154473,0.009771364954245335,-0.009405566154014545,-18.602149,0.786763,-19.38891200000001,0.10085988000000001,1
18,19,1660857395415807742,1660857395497274030,1660857395416594341,1660857395517454460,2.3196473121643066,-0.786599,-20.18043,0.08146628800000001,0.10086011900000001,0,SYNC_INVALID,0,0,0,0,0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.8483659951016307,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.035138608441016156,0.12129600640715581,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,20,1660857395497274030,1660857395619490966,1660857395517454460,1660857395618314341,2.4205071926116943,-20.18043,1.176625,0.12221693600000001,0.10085988100000001,0,SYNC_INVALID,0,0,0,0,0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.3743489980697632,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03128828239847353,0.12105337258568354,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,21,1660857395619490966,1660857395700967678,1660857395618314341,1660857395719174460,2.521367311477661,1.176625,-18.206782,0.081476712,0.10086011900000001,1,VALID,162,147,162,147,35,35,32,0.9142857142857143,0.7377350843812293,5.924341996433213,3.8698010030202568,3.5342810151632875,2.1366039873100817,1.3832200202159584,0.47674099914729595,2.794166997773573,16.619307978544384,0.9999997538506258,-0.00043505954533954366,-0.00055047423179064,0.0025132806706558374,0.0004349865647126805,0.9999998965899526,-0.00013269051443206417,-0.0001954889952338728,0.0005505319031409594,0.00013245103287530207,0.9999998396856609,-0.002836883004996827,0.002370255919544355,0.07595326382154517,0.0020253987675566765,0.08541815243354968,0.0023209707176026755,0.07595326382151546,0.003845686970895993,0.0409123073230307,0.003795089045172673,0.040912307323030715,0.001504171933473164,0.04355485564942027,0.0015214341207218588,0.0435548556494202,0.030839350069732114,0.05548816352183266,1,0.001873911389854529,0.00144353206871556,-0.00015094500223029013,-0.06703165980228311,-0.003209239132590681,-0.0355699627442789,0.03035603434286194,0.005263921676840367,0.0013666822156459448,-0.053956030752632764,-0.012152461529600056,-0.0044664989224429425,-1.1767,18.206707,-19.383407000000005,0.10086011900000001,1
21,22,1660857395700967678,1660857395823180446,1660857395719174460,1660857395820034340,2.622227430343628,-18.206782,3.146106,0.12221276800000001,0.10085988000000001,1,VALID,162,146,162,146,35,35,32,0.9142857142857143,0.5199261334659322,4.393337003421038,4.5020810212008655,3.625005017966032,2.213710016803816,1.3966989936307073,0.4810710088349879,3.4566870017442852,16.47920298273675,0.999999896077538,-0.00045387715507632585,-4.2900363562843485e-05,-0.00027217618392300986,0.000453836648979956,0.9999994556573192,-0.0009395303940767305,0.0020476945809092075,4.3326771592717126e-05,0.0009395108266811794,0.9999995577210009,0.0003477878939347149,0.0033454823139456506,0.0975275997775223,0.0031995248507427384,0.08884747538255361,0.0032553628040718433,0.09752759977760854,0.0022723666670342274,0.05983348192500238,0.002094776692382119,0.05983348192500238,0.0020531071658631576,0.06456353633932849,0.0020811757519044022,0.0645635363393284,0.030836591755556395,0.05595805446993567,1,-0.0014016995890124896,-0.0019726735635459025,0.002309989001439722,-0.08890714343314807,0.03919229924884427,-0.008463526692271609,0.030350855463148016,0.005321788808703577,0.001183016326812226,-0.05467916382153242,-0.01113451977977476,-0.0041798288180247825,18.206707,-3.145942,21.352649,0.10086011900000001,1
