transaction_id,scan_end_ns,image_index,image_ns,signed_mismatch_ms,abs_mismatch_ms,eligible
2533,1660857649166032389,6159,1660857649174445745,8.413356,8.413356,1
2534,1660857649266892270,6161,1660857649255924873,-10.967397,10.967397,1
2535,1660857649367752388,6164,1660857649378133777,10.381389,10.381389,1
2536,1660857649468612269,6166,1660857649459605777,-9.006492,9.006492,1
2537,1660857649569472387,6169,1660857649581822065,12.349678,12.349678,1
2538,1660857649670332268,6171,1660857649663343321,-6.988947,6.988947,1
2539,1660857649771192387,6174,1660857649785511417,14.31903,14.31903,1
2540,1660857649872052268,6176,1660857649866929385,-5.122883,5.122883,1
2541,1660857649972912386,6179,1660857649989204481,16.292095,16.292095,1
2542,1660857650073715285,6181,1660857650111405809,37.690524,37.690524,0
2543,1660857650174575403,6183,1660857650192893481,18.318078,18.318078,1
2544,1660857650275435284,6185,1660857650274385873,-1.049411,1.049411,1
2545,1660857650376295403,6188,1660857650396581257,20.285854,20.285854,0
2546,1660857650477155284,6190,1660857650478059385,0.904101,0.904101,1
2547,1660857650578015402,6192,1660857650559518161,-18.497241,18.497241,1
2548,1660857650678875283,6195,1660857650673397764,-5.477519,5.477519,1
2549,1660857650779735401,6198,1660857650795611732,15.876331,15.876331,1
2550,1660857650880595282,6200,1660857650877088412,-3.50687,3.50687,1
2551,1660857650981455401,6203,1660857650999294252,17.838851,17.838851,1
2552,1660857651082258299,6205,1660857651080776116,-1.482183,1.482183,1
2553,1660857651183118418,6208,1660857651202994924,19.876506,19.876506,1
2554,1660857651283978299,6210,1660857651284490700,0.512401,0.512401,1
2555,1660857651384838417,6212,1660857651365941956,-18.896461,18.896461,1
2556,1660857651485698298,6215,1660857651488153988,2.45569,2.45569,1
2557,1660857651586558417,6217,1660857651569621922,-16.936495,16.936495,1
2558,1660857651687418297,6220,1660857651691836730,4.418433,4.418433,1
2559,1660857651788278416,6222,1660857651773334050,-14.944366,14.944366,1
2560,1660857651889138297,6225,1660857651887233012,-1.905285,1.905285,1
2561,1660857651989997461,6227,1660857651968665364,-21.332097,21.332097,0
2562,1660857652090801314,6229,1660857652099211308,8.409994,8.409994,1
2563,1660857652191661432,6231,1660857652180680956,-10.980476,10.980476,1
2564,1660857652292521313,6234,1660857652302900074,10.378761,10.378761,1
2565,1660857652393381432,6236,1660857652384372146,-9.009286,9.009286,1
2566,1660857652494241313,6239,1660857652498261492,4.020179,4.020179,1
2567,1660857652595101431,6241,1660857652579736460,-15.364971,15.364971,1
2568,1660857652695961312,6244,1660857652701948716,5.987404,5.987404,1
2569,1660857652796821430,6246,1660857652783345076,-13.476354,13.476354,1
2570,1660857652897681311,6249,1660857652913985018,16.303707,16.303707,1
2571,1660857652998541430,6251,1660857652995440826,-3.100604,3.100604,1
2572,1660857653099345282,6254,1660857653109341076,9.995794,9.995794,1
2573,1660857653200205401,6256,1660857653190785196,-9.420205,9.420205,1
2574,1660857653301065281,6259,1660857653313004588,11.939307,11.939307,1
2575,1660857653401925400,6261,1660857653394469300,-7.4561,7.4561,1
2576,1660857653502785281,6264,1660857653516687332,13.902051,13.902051,1
