selection_index,split,segment_id,scan_index,stamp,stage,candidate_id,converged,fitness,nn_median,nn_p90,nn_p95,lt0p5,lt1,lt2,delta_tx,delta_ty,delta_tz,delta_tnorm,delta_roll,delta_pitch,delta_yaw,delta_angle,d00,d01,d02,d10,d11,d12,d20,d21,d22
0,CALIBRATION,0,31,1517157222.21,B_BEST_AXIS,5,1,0.150175910408,0.21696741879,0.651254189014,0.872644793987,0.84942845881,0.965313362239,0.979109184076,-0.0172586029268,-0.110251197935,-0.0518136080986,0.123035913477,97.9316023424,-177.646125661,-177.86234208,82.1627691072,0.998465315298,-0.0372691526296,-0.0410714833387,0.045797568435,0.136378169954,0.989603249575,-0.0312802568887,-0.989959510345,0.137875181409
1,CALIBRATION,1,384,1517157257.82,B_BEST_AXIS,5,1,1.04601383784,0.797713279724,1.9574704051,6.05948619843,0.370286576169,0.555429864253,0.906862745098,4.6392800327,7.00081930409,-2.64193631234,8.80421590085,40.4688768926,-12.1433662296,22.9895526107,45.6777309504,0.899983930283,-0.381825791953,-0.210359972631,0.171438146073,0.753663970694,-0.634514653653,0.400813638692,0.534985078295,0.743738898432
2,CALIBRATION,2,742,1517157293.92,B_BEST_AXIS,5,0,1.79769313486e+308,16.0627555847,18.3401580811,19.4417316437,0,0,0,5.68387665112e-06,2.05943180731e-07,8.94037100352e-07,5.75744463418e-06,3.95018117388e-08,2.73661567077e-07,2.0519846973e-08,0.00205742868585,0.999999999888,-3.13432141352e-10,4.77629538112e-09,3.58138897011e-10,1.00000001023,-6.89436667478e-10,-2.40981858687e-09,-2.4597829329e-10,0.99999998859
3,CALIBRATION,3,848,1517157304.61,B_BEST_AXIS,5,1,0.208177664914,0.17395298183,0.759757733345,1.09824784994,0.834741784038,0.938341158059,0.976212832551,-1.29364073077,16.4151228613,-0.0342832964027,16.4660541794,95.9918895497,-0.991370758626,-19.4581507556,97.6367926473,0.942744327182,0.333070788961,-0.0173018410122,0.0185498206403,-0.104157872277,-0.994389207464,-0.333001903604,0.937134163625,-0.104372204533
4,CALIBRATION,4,1298,1517157350,B_BEST_AXIS,5,0,1.79769313486e+308,20.3685417175,21.3812885284,21.6980419159,0,0,0,9.65387442875e-07,-8.53259976452e-07,1.11203151221e-06,1.7019516992e-06,179.999999992,-179.999998938,-179.999999942,0,0.999999996181,9.42981626811e-10,-1.85432735133e-08,1.01259431742e-09,1.00000002365,1.32034945477e-10,-9.03478486491e-09,8.66634423946e-10,0.999999994851
5,CALIBRATION,5,1468,1517157367.14,B_BEST_AXIS,5,1,0.0355394699123,0.0819490887225,0.133636912704,0.289573024213,0.973853211009,0.995871559633,0.997247706422,4.59717689764,21.9304868473,-1.74569114982,22.4750467491,85.5868124028,-2.95864793172,-28.0524589996,89.9457316893,0.881341547936,0.469653945467,-0.0516152507279,-0.0816034195002,0.0437066942622,-0.995707789382,-0.465381855201,0.881771452308,0.0768460789202
6,CALIBRATION,6,1892,1517157409.9,B_BEST_AXIS,5,1,0.191024281998,0.162587322295,0.716627371311,1.06266114116,0.852805280528,0.942574257426,0.978877887789,2.15495898347,16.2578394095,-1.31126494517,16.4523738786,84.5314453859,-6.8982122291,-7.50682051203,85.4766608471,0.984257042201,0.129699457528,-0.120106428489,-0.130985388136,0.0788634804557,-0.988245395859,-0.118702171431,0.988416375448,0.0946098344662
7,CALIBRATION,7,2008,1517157421.6,B_BEST_AXIS,5,1,0.0127131858245,0.0830503180623,0.118597774208,0.130738461018,0.996117190258,0.997176138369,0.998941051888,0.866418557265,14.8145019142,1.09836823171,14.8804086252,92.2290567795,175.554686849,179.976791659,87.8613276994,0.996994940343,0.00040439157281,0.0775077900085,-0.0774643704244,0.0388637900894,0.996240411276,-0.00260985467411,-0.999247711348,0.0387776815193
8,CALIBRATION,8,2354,1517157456.5,B_BEST_AXIS,5,1,0.0458148248394,0.0935008861125,0.155400243402,0.271267776191,0.971416007036,0.992524186456,0.99780123131,1.37983201683,8.19711874842,0.49018076162,8.32688233071,179.355243594,178.569527073,168.684725012,11.428402116,0.980262788047,0.196147599749,0.0249640213141,-0.196471837344,0.980451336141,0.0112494561158,-0.0222695656019,-0.0159325548898,0.999632022568
9,CALIBRATION,9,2757,1517157497.14,B_BEST_AXIS,5,1,0.125188034569,0.180081665516,0.583148562908,0.710311895609,0.848211689445,0.983134632161,1,0.0906159180271,1.45586959088,-0.667329416371,1.60408729819,82.3047653082,-1.34540188067,-50.2294132759,94.5545304808,0.639540633704,0.768401261005,-0.0234795817979,-0.117805411205,0.067776590253,-0.990722629248,-0.759679202919,0.636370901173,0.133867050848
10,VALIDATION,0,105,1517157229.68,B_BEST_AXIS,5,1,0.0769761815607,0.158691078424,0.441051289439,0.585513800383,0.925200356189,0.991985752449,1,0.0823580676191,1.27891314498,-1.06115399756,1.66386582699,168.105130721,-174.395930533,-175.244166622,14.1700505719,0.991798490188,-0.0825136753204,-0.0976540285592,0.101188654788,0.973494171632,0.205132195995,0.0781393046255,-0.213331399427,0.973854225328
11,VALIDATION,0,264,1517157245.71,B_BEST_AXIS,5,1,0.0247130596077,0.094528131187,0.163351723552,0.221672263741,0.991082802548,0.994055201699,0.997452229299,-0.15798386117,5.01365552331,-1.56669283244,5.25511436965,179.930004277,-178.355264019,-179.699922916,1.66883468979,0.999575700854,-0.0052351597459,-0.0287021560997,0.00527237766927,0.999987072164,0.00122115424475,0.0286951243404,-0.00137197841701,0.999588924634
12,VALIDATION,1,560,1517157275.57,B_BEST_AXIS,5,1,0.09537335087,0.222290806472,0.481861114502,0.568237224221,0.91306156406,0.997920133111,1,0.822419704725,12.6771285903,-2.2419162105,12.9000834013,39.8239813271,-8.57933309349,22.2329422138,44.6922813302,0.915297500907,-0.374140720378,-0.149179070837,0.202161304696,0.747067571636,-0.633266400913,0.348376538823,0.549468179731,0.759423379629
13,VALIDATION,1,327,1517157252.07,B_BEST_AXIS,5,1,0.0143697028756,0.0861978381872,0.13540442884,0.175194174051,0.994451557832,0.998719590269,1,-0.384941293389,6.99312872473,-1.38176124044,7.13871790209,0.151467238557,-2.15195385817,2.2704191596,3.12774146739,0.998511353676,-0.0395880940577,-0.0375498904945,0.0395166768669,0.999217552975,-0.00264173606183,0.0376251277407,0.00115385348177,0.999291832163
14,VALIDATION,2,827,1517157302.49,B_BEST_AXIS,5,1,0.204142427227,0.168096788228,0.752825921774,1.07826449871,0.832495285984,0.940289126336,0.978629792583,-1.31298452029,16.4039785718,-0.0374849330437,16.456483417,95.7860166926,-0.745735373941,-19.4360912857,97.3900824511,0.942934856059,0.332729259607,-0.0130151981177,0.0213358232664,-0.0993777302071,-0.994821674202,-0.332297738751,0.937773736467,-0.100805010727
15,VALIDATION,2,564,1517157275.97,B_BEST_AXIS,5,1,0.0516106645031,0.113897688687,0.380734932423,0.542830240726,0.93838254172,0.996576807873,1,1.01387181208,12.6393470459,-1.80523636326,12.8078065306,2.35966649016,-14.526905135,14.7115454613,20.5656761184,0.936298174945,-0.245835013443,-0.250835555745,0.243750412654,0.969025972285,-0.0398563168902,0.252861846889,-0.0238244308957,0.967216140147
16,VALIDATION,3,1050,1517157324.98,B_BEST_AXIS,5,0,1.79769313486e+308,17.180562973,18.4494590759,18.5163536072,0,0,0,1.6983231319e-06,3.867477254e-07,-1.10646999474e-06,2.06352880104e-06,179.999999951,179.99999979,179.999999936,0.00121544386947,1.00000003885,-9.81842523951e-11,3.66192529533e-09,-1.10951291557e-09,0.9999999909,8.47050055097e-10,5.59557749723e-09,-8.55905693542e-10,0.9999999698
17,VALIDATION,3,931,1517157312.98,B_BEST_AXIS,5,1,0.68273507176,0.477274179459,1.45881874561,1.80021319389,0.520777735417,0.791460160122,0.958444529165,-13.8878938849,14.6968279568,-2.26663912685,20.3471865742,116.198853042,144.811925644,-125.617998313,75.1015667842,0.475957445889,-0.664370383355,0.576262931236,0.0577676073137,0.677442226639,0.733306019401,-0.877570777714,-0.315732888675,0.360813061431
