sequence,frame,window,phase,relative_time_s,init_type,init_to_raw_translation_m,init_to_raw_rotation_deg,initial_translation_error_m,raw_endpoint_translation_error_m,translation_error_change_m,correction_ratio_translation,fitness,transformation_probability,iterations,converged
Corridor01,R6_0067,W0_0_3.068,PHASE0,1.6137,ORACLE_RELATIVE,0.0879583,0.596732,0,0.0879583,0.0879583,NA,0.331657,1.29131,2,1
Corridor01,R6_0067,W0_0_3.068,PHASE0,1.6137,PERFECT_INCREMENT,0.02729,0.319899,0.108286,0.110734,0.002448,-0.0226068005098,0.424385,1.28996,1,1
Corridor01,R6_0068,W0_0_3.068,PHASE0,1.71456,ONLINE_BASELINE,0.0203962,0.131805,0.117477,0.103564,-0.013913,0.118431693012,0.351303,1.29449,1,1
Corridor01,R6_0068,W0_0_3.068,PHASE0,1.71456,ORACLE_RELATIVE,0.0831758,0.797364,0,0.0831758,0.0831758,NA,0.311665,1.28676,2,1
Corridor01,R6_0068,W0_0_3.068,PHASE0,1.71456,PERFECT_INCREMENT,0.0143597,0.172205,0.107931,0.100057,-0.007874,0.0729540169182,0.356995,1.29579,1,1
Corridor01,R6_0069,W0_0_3.068,PHASE0,1.81536,ONLINE_BASELINE,0.00472146,0.0311574,0.10103,0.0987595,-0.0022705,0.022473522716,0.298031,1.28906,1,1
Corridor01,R6_0069,W0_0_3.068,PHASE0,1.81536,ORACLE_RELATIVE,0.0798453,0.913528,0,0.0798453,0.0798453,NA,0.285343,1.28892,2,1
Corridor01,R6_0069,W0_0_3.068,PHASE0,1.81536,PERFECT_INCREMENT,0.00484808,0.0891001,0.104379,0.099949,-0.00443,0.0424414872723,0.294683,1.28851,1,1
Corridor01,R6_0070,W0_0_3.068,PHASE0,1.91622,ONLINE_BASELINE,0.022806,0.428109,0.0983686,0.113014,0.0146454,-0.148882875226,0.839425,1.30217,1,1
Corridor01,R6_0070,W0_0_3.068,PHASE0,1.91622,ORACLE_RELATIVE,0.0996534,1.02228,0,0.0996534,0.0996534,NA,0.753258,1.2745,2,1
Corridor01,R6_0070,W0_0_3.068,PHASE0,1.91622,PERFECT_INCREMENT,0.011534,0.431291,0.0996857,0.10862,0.0089343,-0.0896246904019,0.804053,1.29419,1,1
Corridor01,R6_0071,W0_0_3.068,PHASE0,2.01708,ONLINE_BASELINE,0.0715253,1.38595,0.13199,0.156123,0.024133,-0.182839609061,0.433797,1.31414,2,1
Corridor01,R6_0071,W0_0_3.068,PHASE0,2.01708,ORACLE_RELATIVE,0.0880328,0.68716,0,0.0880328,0.0880328,NA,0.252227,1.29613,2,1
Corridor01,R6_0071,W0_0_3.068,PHASE0,2.01708,PERFECT_INCREMENT,0.025108,0.248131,0.115333,0.121866,0.006533,-0.0566446723834,0.333783,1.31694,1,1
Corridor01,R6_0072,W0_0_3.068,PHASE0,2.11794,ONLINE_BASELINE,0.0747353,0.263565,0.23351,0.166456,-0.067054,0.287156866944,0.507924,1.30949,2,1
Corridor01,R6_0072,W0_0_3.068,PHASE0,2.11794,ORACLE_RELATIVE,0.147528,1.50302,0,0.147528,0.147528,NA,0.534268,1.31154,3,1
Corridor01,R6_0072,W0_0_3.068,PHASE0,2.11794,PERFECT_INCREMENT,0.0267394,2.06588,0.164787,0.148421,-0.016366,0.0993160868272,0.523852,1.3118,2,1
Corridor01,R6_0073,W0_0_3.068,PHASE0,2.2188,ONLINE_BASELINE,0.00741586,0.65542,0.178686,0.176127,-0.002559,0.0143212115107,0.513581,1.33044,1,1
Corridor01,R6_0073,W0_0_3.068,PHASE0,2.2188,ORACLE_RELATIVE,0.165198,2.84112,0,0.165198,0.165198,NA,0.520647,1.32979,5,1
Corridor01,R6_0073,W0_0_3.068,PHASE0,2.2188,PERFECT_INCREMENT,0.0158965,1.69027,0.169518,0.155435,-0.014083,0.0830767234158,0.478908,1.32666,2,1
Corridor01,R6_0074,W0_0_3.068,PHASE0,2.31966,ONLINE_BASELINE,0.0144153,0.433002,0.156001,0.166667,0.010666,-0.0683713565939,0.439532,1.34371,1,1
Corridor01,R6_0074,W0_0_3.068,PHASE0,2.31966,ORACLE_RELATIVE,0.0845124,2.41051,0,0.0845124,0.0845124,NA,0.225962,1.2965,3,1
Corridor01,R6_0074,W0_0_3.068,PHASE0,2.31966,PERFECT_INCREMENT,0.0244135,2.32798,0.185022,0.170732,-0.01429,0.0772340586525,0.452433,1.34005,3,1
