sequence,record_scope,frame,window,phase,relative_time_s,actual_timestamp,init_type,initial_translation_error_m,initial_rotation_error_deg,raw_endpoint_translation_error_m,raw_endpoint_rotation_error_deg,translation_error_change_m,rotation_error_change_deg,correction_ratio_translation,ndt_displacement_translation_m,ndt_displacement_rotation_deg,fitness,transformation_probability,iterations,converged,translation_limited,rotation_limited,baseline_oracle_endpoint_separation_m,baseline_oracle_endpoint_separation_deg,window_stats_inclusion,source,observation_conditioning
Corridor01,registration_counterfactual,R6_0058,W0_0_3.068,PHASE0,0.70602,1517157224.94,PERFECT_INCREMENT,0.0482563,0.286809,0.049029,0.03624,0.0007727,-0.250569,-0.0160124170316,0.00367976,0.271038,0.470497,1.28607,1,1,,,0.0411793,0.434038,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0059,W0_0_3.068,PHASE0,0.806817,1517157225.04,ONLINE_BASELINE,0.0843168,0.231404,0.0762202,0.226054,-0.0080966,-0.00535,0.0960259402634,0.008332,0.294375,0.394362,1.28195,1,1,,,0.0191066,0.202591,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0059,W0_0_3.068,PHASE0,0.806817,1517157225.04,ORACLE_RELATIVE,0,3.28747e-15,0.0573988,0.371878,0.0573988,0.371878,-57398800,0.0573988,0.371878,0.397171,1.28154,2,1,,,0.0191066,0.202591,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0059,W0_0_3.068,PHASE0,0.806817,1517157225.04,PERFECT_INCREMENT,0.0659274,0.480147,0.0639641,0.227971,-0.0019633,-0.252176,0.0297797273971,0.0108829,0.557802,0.390356,1.28044,1,1,,,0.0191066,0.202591,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0060,W0_0_3.068,PHASE0,0.907677,1517157225.14,ONLINE_BASELINE,0.104392,1.19524,0.0903475,1.52679,-0.0140445,0.33155,0.134536171354,0.0216395,0.3583,0.408464,1.29366,1,1,,,0.0299417,0.573816,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0060,W0_0_3.068,PHASE0,0.907677,1517157225.14,ORACLE_RELATIVE,0,7.84192e-16,0.0612251,1.04032,0.0612251,1.04032,-61225100,0.0612251,1.04032,0.381788,1.29566,2,1,,,0.0299417,0.573816,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0060,W0_0_3.068,PHASE0,0.907677,1517157225.14,PERFECT_INCREMENT,0.0761806,0.226041,0.0754364,0.712944,-0.0007442,0.486903,0.00976889129253,0.0106886,0.560275,0.375377,1.29257,1,1,,,0.0299417,0.573816,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0061,W0_0_3.068,PHASE0,1.00854,1517157225.24,ONLINE_BASELINE,0.108003,0.984247,0.0874479,0.814386,-0.0205551,-0.169861,0.190319713341,0.0250907,0.224238,0.360671,1.30186,1,1,,,0.0315724,0.405036,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0061,W0_0_3.068,PHASE0,1.00854,1517157225.24,ORACLE_RELATIVE,0,2.00332e-16,0.0579498,0.421985,0.0579498,0.421985,-57949800,0.0579498,0.421985,0.355268,1.30541,2,1,,,0.0315724,0.405036,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0061,W0_0_3.068,PHASE0,1.00854,1517157225.24,PERFECT_INCREMENT,0.0903135,1.52678,0.0865032,1.25912,-0.0038103,-0.26766,0.0421897058579,0.0134216,0.305977,0.383142,1.29965,1,1,,,0.0315724,0.405036,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0062,W0_0_3.068,PHASE0,1.1094,1517157225.34,ONLINE_BASELINE,0.104809,1.06634,0.0827465,0.598796,-0.0220625,-0.467544,0.210501960709,0.025102,0.49159,0.37278,1.29981,1,1,,,0.0163345,0.0284774,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0062,W0_0_3.068,PHASE0,1.1094,1517157225.34,ORACLE_RELATIVE,0,4.9108e-16,0.0666198,0.585186,0.0666198,0.585186,-66619800,0.0666198,0.585186,0.373581,1.3007,2,1,,,0.0163345,0.0284774,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0062,W0_0_3.068,PHASE0,1.1094,1517157225.34,PERFECT_INCREMENT,0.0875853,0.814391,0.0882617,0.881297,0.0006764,0.066906,-0.00772275712934,0.0125346,0.731862,0.372751,1.2992,1,1,,,0.0163345,0.0284774,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0063,W0_0_3.068,PHASE0,1.21026,1517157225.44,ONLINE_BASELINE,0.0782774,0.511352,0.0819982,0.775013,0.0037208,0.263661,-0.0475335154208,0.0165956,0.34565,0.375969,1.29042,1,1,,,0.02022,0.27603,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0063,W0_0_3.068,PHASE0,1.21026,1517157225.44,ORACLE_RELATIVE,0,8.3528e-16,0.0654755,0.900095,0.0654755,0.900095,-65475500,0.0654755,0.900095,0.368757,1.2885,2,1,,,0.02022,0.27603,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0063,W0_0_3.068,PHASE0,1.21026,1517157225.44,PERFECT_INCREMENT,0.0829308,0.598794,0.0839757,0.608904,0.0010449,0.01011,-0.0125996614044,0.016472,0.369542,0.351381,1.28338,1,1,,,0.02022,0.27603,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0064,W0_0_3.068,PHASE0,1.31112,1517157225.54,ONLINE_BASELINE,0.0923987,1.19534,0.0961137,1.24041,0.003715,0.04507,-0.0402061933772,0.00995852,0.339717,0.402789,1.3003,1,1,,,0.017049,0.643786,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0064,W0_0_3.068,PHASE0,1.31112,1517157225.54,ORACLE_RELATIVE,0,6.11813e-17,0.0922965,0.879323,0.0922965,0.879323,-92296500,0.0922965,0.879323,0.371945,1.29219,2,1,,,0.017049,0.643786,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0064,W0_0_3.068,PHASE0,1.31112,1517157225.54,PERFECT_INCREMENT,0.0821613,0.775003,0.0983135,0.923692,0.0161522,0.148689,-0.196591339231,0.0245169,0.155415,0.370455,1.29154,1,1,,,0.017049,0.643786,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0065,W0_0_3.068,PHASE0,1.41198,1517157225.64,ONLINE_BASELINE,0.10998,0.932166,0.102813,0.957649,-0.007167,0.025483,0.0651663938898,0.0120594,0.114166,0.350651,1.28984,1,1,,,0.028923,0.216101,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0065,W0_0_3.068,PHASE0,1.41198,1517157225.64,ORACLE_RELATIVE,0,3.42014e-17,0.0769618,0.824017,0.0769618,0.824017,-76961800,0.0769618,0.824017,0.338948,1.28907,2,1,,,0.028923,0.216101,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
