sequence,record_scope,frame,window,phase,relative_time_s,actual_timestamp,init_type,initial_translation_error_m,initial_rotation_error_deg,raw_endpoint_translation_error_m,raw_endpoint_rotation_error_deg,translation_error_change_m,rotation_error_change_deg,correction_ratio_translation,ndt_displacement_translation_m,ndt_displacement_rotation_deg,fitness,transformation_probability,iterations,converged,translation_limited,rotation_limited,baseline_oracle_endpoint_separation_m,baseline_oracle_endpoint_separation_deg,window_stats_inclusion,source,observation_conditioning
Floor01,registration_counterfactual,F01_NDT_0163,W0_PRE,PHASE0,15.7333,1660857408.93,ORACLE_RELATIVE,0,2.5707e-17,0.0144708,0.219083,0.0144708,0.219083,NA,0.0144708,0.219083,0.31019,1.57594,1,1,0,0,0.0641262,0.477512,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0163,W0_PRE,PHASE0,15.7333,1660857408.93,PERFECT_INCREMENT,0.0795682,0.459519,0.0843328,0.622667,0.0047646,0.163148,-0.0598807061112,0.00727294,0.184365,0.306146,1.58301,1,1,0,0,0.0641262,0.477512,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0164,W0_PRE,PHASE0,15.8341,1660857409.03,ONLINE_BASELINE,0.0765849,0.741605,0.0752405,0.643821,-0.0013444,-0.097784,0.0175543742957,0.0111275,0.101723,0.318321,1.56421,1,1,0,0,0.0650424,0.6378,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0164,W0_PRE,PHASE0,15.8341,1660857409.03,ORACLE_RELATIVE,0,7.43404e-18,0.0103784,0.118271,0.0103784,0.118271,NA,0.0103784,0.118271,0.323041,1.56762,1,1,0,0,0.0650424,0.6378,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0164,W0_PRE,PHASE0,15.8341,1660857409.03,PERFECT_INCREMENT,0.0771911,0.675032,0.0774374,0.608491,0.0002463,-0.066541,-0.00319078235703,0.00681024,0.0690429,0.318241,1.56659,1,1,0,0,0.0650424,0.6378,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0165,W0_PRE,PHASE0,15.935,1660857409.13,ONLINE_BASELINE,0.0736515,0.710267,0.0775028,0.704609,0.0038513,-0.005658,-0.0522908562623,0.0101089,0.0245668,0.313755,1.56984,1,1,0,0,0.0674953,0.576982,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0165,W0_PRE,PHASE0,15.935,1660857409.13,ORACLE_RELATIVE,0,5.82377e-17,0.011759,0.183126,0.011759,0.183126,NA,0.011759,0.183126,0.317818,1.56078,1,1,0,0,0.0674953,0.576982,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0165,W0_PRE,PHASE0,15.935,1660857409.13,PERFECT_INCREMENT,0.0752387,0.643821,0.0785403,0.661047,0.0033016,0.017226,-0.0438816725967,0.00513859,0.0271857,0.313765,1.57163,1,1,0,0,0.0674953,0.576982,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0166,W0_PRE,PHASE0,16.0358,1660857409.23,ONLINE_BASELINE,0.0809326,0.659936,0.0753222,0.562064,-0.0056104,-0.097872,0.0693218801818,0.00939426,0.104391,0.312519,1.58124,1,1,0,0,0.0715648,0.397831,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0166,W0_PRE,PHASE0,16.0358,1660857409.23,ORACLE_RELATIVE,0,9.22699e-17,0.00637348,0.196372,0.00637348,0.196372,NA,0.00637348,0.196372,0.316364,1.57853,1,1,0,0,0.0715648,0.397831,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
