mode,ref_ns,stamp_ns,measurement_x,measurement_y,measurement_z,innovation_x,innovation_y,innovation_z,innovation_norm,measured_innovation_norm,position_correction,velocity_correction,rotation_correction_deg,sigma,pnp_inliers,inlier_ratio,reprojection_rmse_px,update_ms
VISUAL_XYZ_010,1660857588451275045,1660857588532805098,49.575905479944709,10.169601456213909,0.49336557487263027,0.062935172976111176,-0.38761486231610043,-0.012028396713022749,0.39287504351046321,0.39287504351046321,0.11417709678599347,0.19733388995052592,0.38157717090036658,0.10000000000000001,29,0.80555555555555558,0.64671931221297241,0.014178
VISUAL_XYZ_010,1660857588860338475,1660857588942151726,49.613373931094408,11.700799844723358,0.6466961594100562,0.039485977212748935,-0.3380105257150845,-0.013965487206390792,0.34059549721560528,0.34059549721560528,0.1425431886063217,0.21831352358082873,0.40125942786475716,0.10000000000000001,27,0.81818181818181823,0.56873131840756175,0.014945999999999999
VISUAL_XYZ_010,1660857588942151726,1660857589064715890,49.649517503140302,11.765164145978137,0.67103255935291117,-0.014703501109899264,-0.61271214703358545,-0.052801018477403816,0.61515877269177099,0.61515877269177099,0.20036928746934024,0.30335385327085906,0.55758434133625756,0.10000000000000001,27,0.72972972972972971,0.57555712854808871,0.014388
VISUAL_XYZ_010,1660857589064715890,1660857589146352575,49.705330095667513,12.05724222875509,0.70805361873707096,0.026696489688632141,-0.30770667545180252,-0.015270843784958021,0.30923987347882675,0.30923987347882675,0.091150032992945051,0.14028634971725887,0.26118161437446286,0.10000000000000001,45,0.91836734693877553,0.58887021095652015,0.014666999999999999
VISUAL_XYZ_010,1660857589146352575,1660857589268842009,49.743040112925314,12.101467734638828,0.73495264935253746,-0.031464396414996543,-0.58586650060915346,-0.057705335079932474,0.5895417461677015,0.5895417461677015,0.15836272448844471,0.25435299126811756,0.47578673858565279,0.10000000000000001,44,0.93617021276595747,0.46614232330070993,0.014387
VISUAL_XYZ_010,1660857589268842009,1660857589350504411,49.800034389043361,12.439015896084584,0.78360282649799429,0.016897025336049865,-0.28574267829367095,-0.018147918154483245,0.28681655216704155,0.28681655216704155,0.074434229619168193,0.12239946756489098,0.23339350460229652,0.10000000000000001,37,0.94871794871794868,0.61744258357843151,0.013269
VISUAL_XYZ_010,1660857589350504411,1660857589472895545,49.761108481993176,12.437505193517445,0.80610252510745639,-0.094623020396419122,-0.6202863370954006,-0.059284335991114823,0.63025652592422832,0.63025652592422832,0.15883034824321221,0.27022811719731171,0.51285764690144842,0.10000000000000001,46,0.85185185185185186,0.61814964740705292,0.013828999999999999
VISUAL_XYZ_010,1660857589472895545,1660857589554361417,49.867382532471638,12.795113364391112,0.86212005750812193,0.017022563395457269,-0.26991337302494856,-0.017761119995223673,0.27103220101261427,0.27103220101261427,0.067820290624345428,0.11796649528250873,0.22614188455810252,0.10000000000000001,57,0.90476190476190477,0.51240728722926976,0.013828999999999999
VISUAL_XYZ_010,1660857589554361417,1660857589676127314,49.918693998017211,12.837588887469346,0.87885381893749204,-0.008627097000271533,-0.61205861975254017,-0.063367960971558501,0.6153906720886575,0.6153906720886575,0.15322925533955989,0.26863781554249755,0.5163548915683468,0.10000000000000001,33,0.86842105263157898,0.49605639947348218,0.015713999999999999
VISUAL_XYZ_010,1660857589676127314,1660857589757591017,49.985137094894988,13.162556092549989,0.91540841568233544,0.02590660991902638,-0.27279214442945943,-0.027590393551413794,0.27540504046992598,0.27540504046992598,0.068616067760143978,0.12119086022004259,0.23407926906283524,0.10000000000000001,42,0.91304347826086951,0.40446284761491846,0.013618999999999999
VISUAL_XYZ_010,1660857589880394399,1660857589962016142,50.066498566609546,13.696790742943955,1.0119339303851196,-0.0094997745645031273,-0.29171139364540721,-0.010902044930723331,0.29206957644197318,0.29206957644197318,0.089808922792258092,0.15479556016596871,0.29799303496115714,0.10000000000000001,28,0.84848484848484851,0.45240533227576629,0.013899
VISUAL_XYZ_010,1660857589962016142,1660857590084291557,50.085037362650262,13.681934504988494,1.0416325912158382,-0.081616131384706136,-0.63631473931283189,0.05405144142455498,0.6438005892270019,0.6438005892270019,0.18129200489926225,0.30607939064477319,0.57637567996000694,0.10000000000000001,32,0.84210526315789469,0.76807446517653399,0.014387
VISUAL_XYZ_010,1660857590084291557,1660857590165772901,50.155821242709202,14.004548925145333,1.0117599292160602,-0.0014635198743704336,-0.27278445493775294,-0.0050443133536701712,0.27283501579401359,0.27283501579401359,0.073989834819360917,0.12570572648220266,0.23920000207704434,0.10000000000000001,44,0.88,0.64475545944668911,0.014318000000000001
VISUAL_XYZ_010,1660857590165772901,1660857590247246493,50.17429340252756,14.084711008151263,1.0320713330359998,-0.010352071244369654,-0.36696155061467017,0.033332154300183103,0.36861765763303156,0.36861765763303156,0.092402897951113797,0.15812683275143991,0.30069114329013624,0.10000000000000001,45,0.95744680851063835,0.57481744407138946,0.014597000000000001
VISUAL_XYZ_010,1660857590247246493,1660857590369443685,50.153160158117032,14.151097772921505,0.98540658663730052,-0.10357934760932608,-0.6758821253700944,0.064631060612968638,0.68682057529017493,0.68682057529017493,0.16953958486583739,0.29015158492009069,0.5513569933712773,0.10000000000000001,45,0.86538461538461542,0.6349933751655813,0.014807000000000001
VISUAL_XYZ_010,1660857590369443685,1660857590450923685,50.229023096810479,14.528889544594934,0.95563431131708987,0.00037251609929711549,-0.26926362254781111,0.03260419918542723,0.27123066014065839,0.27123066014065839,0.066814228651740748,0.11595794393949341,0.22035092236827991,0.10000000000000001,31,0.81578947368421051,0.63273559484271258,0.013898000000000001
VISUAL_XYZ_010,1660857590450923685,1660857590573135661,50.21375207155576,14.551922524057572,0.89247984425111226,-0.095735792700615718,-0.64000396229314482,0.054214995417266598,0.64939177657484592,0.64939177657484592,0.15956836266574928,0.27789385181881737,0.53077600590055274,0.10000000000000001,40,0.80000000000000004,0.65659407849781382,0.014387
VISUAL_XYZ_010,1660857590573135661,1660857590654616821,50.275173303188261,14.878974091179682,0.82560313375008754,-0.016243656265601203,-0.27813850540150931,-0.0039863442376337765,0.27864094368244119,0.27864094368244119,0.068703798007140562,0.12056903680752359,0.23244404069863533,0.10000000000000001,40,0.7142857142857143,0.59859323196876746,0.014666999999999999
VISUAL_XYZ_010,1660857590654616821,1660857590777022731,50.26023085042975,14.866364471063283,0.81134306858634142,-0.06585095899605875,-0.60596620335696194,0.090450390589478236,0.61620829397967425,0.61620829397967425,0.151523671202697,0.2668615479752065,0.50337531077431918,0.10000000000000001,22,0.70967741935483875,0.67427221953567729,0.014666999999999999
VISUAL_XYZ_010,1660857590777022731,1660857590858245431,50.276022558537512,15.202662422223595,0.75005726775234438,-0.022161699695217862,-0.2575821323834333,0.022101812172903856,0.25947675417636917,0.25947675417636917,0.064141090392393005,0.11311282935355087,0.21873803426582697,0.10000000000000001,21,0.55263157894736847,0.53890701038105859,0.013968
VISUAL_XYZ_010,1660857591061607719,1660857591183828815,50.189727872174835,15.834902944587212,0.57940303803964077,-0.22414319792731874,-0.79111716147450473,0.048729033778109665,0.82369961459837471,0.82369961459837471,0.27912065600476038,0.45194107755995311,0.84718203950857973,0.10000000000000001,21,0.53846153846153844,1.0080588412242968,0.014246999999999999
VISUAL_XYZ_010,1660857591183828815,1660857591265289359,50.246510569373022,16.24545856742926,0.52764501757964644,-0.080265666850479533,-0.29348589520298773,0.015757565612525282,0.30467170664845838,0.30467170664845838,0.093199333787629374,0.14961014994402802,0.2809796897836746,0.10000000000000001,25,0.625,1.0006923310728744,0.014388
VISUAL_XYZ_010,1660857592082557041,1660857592164173426,51.498548222635726,19.794895748568386,0.26612510468129824,-0.14994109499690467,-0.32622924420166299,0.025996675405021763,0.35997733105485008,0.35997733105485008,0.17893278539433508,0.22609488010026629,0.38607413309804678,0.10000000000000001,39,0.97499999999999998,0.34026310078716859,0.014666999999999999
VISUAL_XYZ_010,1660857592286239382,1660857592367673598,51.768882332492005,20.449245058119825,0.24604328805524467,-0.14070134406736656,-0.31333696914049725,0.017579489811325677,0.34392726398839463,0.34392726398839463,0.13544434966246569,0.18163949445925365,0.31351355876516551,0.10000000000000001,32,0.96969696969696972,0.45996557073001842,0.014945999999999999
VISUAL_XYZ_010,1660857592489083634,1660857592570559233,52.009602747246646,21.072592811289802,0.22556519622099097,-0.14014346662039401,-0.29423792457928855,0.018233812110203751,0.32641786011365675,0.32641786011365675,0.11752059449316218,0.17112688565210776,0.30353442151404925,0.10000000000000001,31,0.96875,0.41321443137337383,0.014317
VISUAL_XYZ_010,1660857592692431295,1660857592773948063,52.299916055434061,21.633319008599461,0.18791967193837461,-0.13944939858751582,-0.27849529617131097,0.020624691650236393,0.31213962046115423,0.31213962046115423,0.11002075646003122,0.16936505502430071,0.30741290352187589,0.10000000000000001,25,0.83333333333333337,0.41251265776353252,0.014666999999999999
VISUAL_XYZ_010,1660857592773948063,1660857592896112999,52.393892615558038,21.804145113370332,0.17398016764439514,-0.18940178495735438,-0.30731696472334491,0.005450679583300172,0.36103526539622322,0.36103526539622322,0.10738334827858054,0.17063512984578239,0.31094407104142679,0.10000000000000001,34,0.91891891891891897,0.77341013498572109,0.014527
VISUAL_XYZ_010,1660857592896112999,1660857592977233231,52.518679833193701,22.016283482020995,0.17435336595697232,-0.12267910311449981,-0.2263618714372484,0.021063651441853432,0.25832835034818641,0.25832835034818641,0.072012774678179098,0.11785368886823165,0.21992329451234782,0.10000000000000001,30,0.88235294117647056,0.54958860448988101,0.014388
VISUAL_XYZ_010,1660857593180305617,1660857593302243555,52.762738086049822,22.709364030278422,0.17693132429851921,-0.098500728850559938,-0.30484008952028674,-0.056463437248407994,0.32529677758737924,0.32529677758737924,0.11437643351865838,0.18644037303891503,0.34872420573945523,0.10000000000000001,29,0.96666666666666667,0.81369103952185784,0.016691999999999999
VISUAL_XYZ_010,1660857595424143181,1660857595505942046,54.917950654613428,24.471657004686342,0.63582612474603162,-0.19811546674405633,-0.035809568701068883,-0.00022498367651979656,0.20132589001771869,0.20132589001771869,0.10517960817009019,0.12761919652788303,0.21694519395473011,0.10000000000000001,30,0.967741935483871,0.46182828300773543,0.014666999999999999
VISUAL_XYZ_010,1660857595628291499,1660857595709756395,55.121572935985732,24.297004430618745,0.62168651209468029,-0.19237106589717001,-0.033698641882974556,-0.0064999429803371811,0.19540848169390684,0.19540848169390684,0.078970576465965781,0.10686267742876759,0.18503820958138523,0.10000000000000001,30,1,0.33273495490482702,0.014317
VISUAL_XYZ_010,1660857595831966555,1660857595913445555,55.50868908896031,24.098972708342206,0.63828587874689557,-0.16703006283533028,-0.038322152974448187,-0.010708686520124133,0.17170412128530194,0.17170412128530194,0.063406608330622824,0.094104906725907739,0.16675941028770669,0.10000000000000001,31,1,0.48304931219142189,0.014177
VISUAL_XYZ_010,1660857596035668851,1660857596117130627,55.911294657029515,23.918240323153476,0.66822940328431224,-0.19615484768237934,-0.038826270763401283,-0.028838478092978681,0.20202935774141739,0.20202935774141739,0.066735391912529932,0.1031306855687176,0.1805507324676178,0.10000000000000001,30,1,0.44061945967345123,0.014318000000000001
VISUAL_XYZ_010,1660857596117130627,1660857596198618979,56.060004271811827,23.835199645330494,0.67322452634279217,-0.1873681697850742,-0.0042777974683012587,-0.014662602720538764,0.1879896872658938,0.1879896872658938,0.056271611647228201,0.089355925530367891,0.15956451491269599,0.10000000000000001,31,1,0.53636234050496279,0.014248
VISUAL_XYZ_010,1660857596320855595,1660857596402294851,56.561740071735116,23.619213194130392,0.71673614803719365,-0.18095776544507203,-0.0044457316746999709,-0.01862634785063344,0.18196817919419297,0.18196817919419297,0.059647696992005665,0.097524378613208229,0.17535678660451065,0.10000000000000001,29,0.96666666666666667,0.37505094395216032,0.014737
VISUAL_XYZ_010,1660857596524506947,1660857596605995979,57.074632734727629,23.427335837329487,0.74954560176356544,-0.17766033148224381,-0.0047961304137693617,-0.026962679625137542,0.17975867807116974,0.17975867807116974,0.061899663716843301,0.09985305618112171,0.17755047064278023,0.10000000000000001,29,0.93548387096774188,0.43449561289768585,0.014388
VISUAL_XYZ_010,1660857598926914550,1660857599049130166,60.956211309347836,21.306756513107608,0.31413412962419573,-0.051708300954793174,0.16802002391433746,-0.027488815342933959,0.17793288564164836,0.17793288564164836,0.083610444588532715,0.10277235551281889,0.17338459967966199,0.10000000000000001,32,0.96969696969696972,0.29024750699854041,0.015365
VISUAL_XYZ_010,1660857599049130166,1660857599130627646,60.979048221751725,21.216123209112936,0.32822455756293145,-0.077154355384777773,0.076801654367518069,0.009198139260430005,0.10925151913947265,0.10925151913947265,0.040039582847753136,0.052597605303376233,0.091652041707429521,0.10000000000000001,34,1,0.14886807558974036,0.014248
