stamp,relative_common_s,relative_r7i_s,gt_bracket_width_s,gt_nearest_dt_s,legacy_raw_translation_error_m,legacy_raw_rotation_error_deg,legacy_final_translation_error_m,legacy_final_rotation_error_deg,mature_imu_raw_translation_error_m,mature_imu_raw_rotation_error_deg,mature_imu_final_translation_error_m,mature_imu_final_rotation_error_deg,legacy_raw_to_final_translation_delta_m,legacy_raw_to_final_rotation_delta_deg,mature_imu_raw_to_final_translation_delta_m,mature_imu_raw_to_final_rotation_delta_deg,delta_raw_translation_legacy_minus_mature_m,delta_final_translation_legacy_minus_mature_m,delta_raw_rotation_legacy_minus_mature_deg,delta_final_rotation_legacy_minus_mature_deg,legacy_fitness,mature_fitness,legacy_iterations,mature_iterations,legacy_converged,mature_converged,legacy_limited,mature_limited,legacy_cloud_hash,mature_cloud_hash,legacy_source_points,mature_source_points,hq_gt_bracket_le_0p25
1660857397.3328431,3.73159599304,4.135036026,0.201719999313,0.100859880447,0.0373033353818,0.693436153457,0.0373033353818,0.693436153457,0.0698188838786,0.440853167496,0.0698188838786,0.440853167496,0,0,0,0,-0.0325155484968,-0.0325155484968,0.252582985961,0.252582985961,0.3172344728276143,0.3063258195994188,1,1,1,1,0,0,95a3f04691722f80,684ab60ec377e3ef,1400,1400,1
1660857397.4337029,3.83245587349,4.235895826,0.201719999313,0,0.0477839259525,0.47472684063,0.0477839259525,0.47472684063,0.0647448701799,0.364911124683,0.0647448701799,0.364911124683,0,0,0,1.20741826973e-06,-0.0169609442274,-0.0169609442274,0.109815715947,0.109815715947,0.3300585168150662,0.3180138123847298,1,1,1,1,0,0,9697808e3e15805f,e6ef763a95d0f258,1400,1400,1
1660857397.5345631,3.93331599236,4.336756026,0.201719999313,0.100859880447,0.0568575076191,0.471480637495,0.0568575076191,0.471480637495,0.0659803829624,0.268033051337,0.0659803829624,0.268033051337,0,0,0,0,-0.00912287534328,-0.00912287534328,0.203447586158,0.203447586158,0.31656348820330876,0.31946563031010944,1,1,1,1,0,0,17075aa4e611d08f,38f98d7521d6c0da,1400,1400,1
1660857397.6354229,4.0341758728,4.437615826,0.201719999313,0,0.0608160974063,0.752184109709,0.0608160974063,0.752184109709,0.0677253997624,0.382590064964,0.0677253997624,0.382590064964,0,0,0,0,-0.00690930235603,-0.00690930235603,0.369594044744,0.369594044744,0.3116043816776593,0.30554679717010524,1,1,1,1,0,0,8280558c46c01590,6760ff985cc7959c,1400,1400,1
1660857397.7362831,4.13503599167,4.538476026,0.201719999313,0.100859880447,0.0598007929899,0.776384149635,0.0598007929899,0.776384149635,0.0682911837729,0.237246207541,0.0682911837729,0.237246207541,0,0,0,0,-0.00849039078301,-0.00849039078301,0.539137942094,0.539137942094,0.31152005431196034,0.30261193230302524,1,1,1,1,0,0,d526a3f1f2277632,4d4c55915cf446ae,1400,1400,1
1660857397.8371429,4.23589587212,4.639335826,0.201664209366,0,0.0551299617462,0.694094850176,0.0551299617462,0.694094850176,0.0745401609304,0.241473622729,0.0745401609304,0.241473622729,0,0,0,0,-0.0194101991842,-0.0194101991842,0.452621227447,0.452621227447,0.31129073995313383,0.3045845381588489,1,1,1,1,0,0,dcd8ff084eebdef6,00ba1f04cf536b36,1400,1400,1
1660857397.9380031,4.33675599098,4.740196026,0.201664209366,0.1008040905,0.0562769033979,0.633715427176,0.0562769033979,0.633715427176,0.0704436650683,0.2668779783,0.0704436650683,0.2668779783,0,0,0,0,-0.0141667616704,-0.0141667616704,0.366837448876,0.366837448876,0.32497732850703737,0.3190876822337103,1,1,1,1,0,0,a561c5483399a28a,a4e97ea730d406ff,1400,1400,1
1660857398.0388069,4.43755984306,4.840999826,0.201664209366,2.38418579102e-07,0.0518391826343,0.700001699505,0.0518391826343,0.700001699505,0.06977167885,0.429542529412,0.06977167885,0.429542529412,0,0,0,0,-0.0179324962157,-0.0179324962157,0.270459170093,0.270459170093,0.3008553665300113,0.32313396508131387,1,1,1,1,0,0,6b3110fe17fbaccd,dc01b298065d8d67,1400,1400,1
1660857398.139667,4.53841996193,4.941859926,0.201719760895,0.100859880447,0.0436416699801,0.707698104717,0.0436416699801,0.707698104717,0.0789132939973,0.31071560031,0.0789132939973,0.31071560031,0,0,0,0,-0.0352716240171,-0.0352716240171,0.396982504407,0.396982504407,0.31781035427948673,0.31084135889631787,1,1,1,1,0,0,5f6a26c67f89e75d,68a85d6b538eac36,1400,1400,1
1660857398.2405269,4.63927984238,5.042719826,0.201719999313,0,0.0369432628764,0.661021438103,0.0369432628764,0.661021438103,0.0784663439298,0.456263312025,0.0784663439298,0.456263312025,0,0,0,0,-0.0415230810534,-0.0415230810534,0.204758126078,0.204758126078,0.31583269111697,0.33438465493040503,1,1,1,1,0,0,b3e92cc5f977cbf9,e55268086a25ffb7,1400,1400,1
