pipeline,stamp,stamp_float,relative_common_s,relative_r7i_s,gt_supported,gt_bracket_width_s,raw_translation_error_m,raw_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,raw_to_final_translation_delta_m,raw_to_final_rotation_delta_deg,fitness,iterations,converged,translation_limited,rotation_limited,cloud_hash,point_count_raw,point_count_source,initial_guess_source,local_imu_prior_used
legacy,1660857726.5212951,1660857726.521295,332.92004799842834,333.323488026,1,0.201719999313,66.2981882861,160.530652927,66.2981882861,160.530652927,0,1.7075472925e-06,0.05438630103609273,1,1,0,0,9e7056fc4c0ca9c1,15095,233,local_imu_rotation_prior,1
legacy,1660857726.622155,1660857726.622155,333.02090787887573,333.424347926,1,0.201719999313,66.2587350485,161.405453712,66.2587350485,161.405453712,0,0,0.055107092339805944,1,1,0,0,96fdb472e773befe,15569,236,local_imu_rotation_prior,1
legacy,1660857726.7230151,1660857726.723015,333.1217679977417,333.525208026,1,0.201719999313,66.2125961482,161.872785999,66.2125961482,161.872785999,0,0,0.05369682765752462,1,1,0,0,7930eb4e4f8f1fdf,16095,242,local_imu_rotation_prior,1
legacy,1660857726.823875,1660857726.823875,333.2226278781891,333.626067926,1,0.201719999313,66.1518770578,162.653725532,66.1518770578,162.653725532,0,0,0.057913911982715824,1,1,0,0,5895c45e6451b6e7,16823,246,local_imu_rotation_prior,1
legacy,1660857726.9247351,1660857726.924735,333.32348799705505,333.726928026,1,0.201670885086,66.1102800482,162.683851821,66.1102800482,162.683851821,0,0,0.06450601220331009,3,1,0,0,a07caa415da02a13,18039,256,local_imu_rotation_prior,1
legacy,1660857727.0255461,1660857727.025546,333.4242990016937,333.827739026,1,0.201670885086,65.9948581071,165.075061489,65.9948581071,165.075061489,0,0,0.061951695816734334,3,1,0,0,54f1d9b0050edf21,20889,272,local_imu_rotation_prior,1
legacy,1660857727.126406,1660857727.126406,333.5251588821411,333.928598926,1,0.201719999313,65.8782351448,163.953463776,65.8782351448,163.953463776,0,0,0.06356847445156587,2,1,0,0,10857d8d617294ef,23537,276,local_imu_rotation_prior,1
legacy,1660857727.2272661,1660857727.227266,333.6260190010071,334.029459026,1,0.201719999313,65.7761958114,161.721996014,65.7761958114,161.721996014,0,0,0.06518981367923049,1,1,0,0,a2205ae8d4417277,24525,296,local_imu_rotation_prior,1
legacy,1660857727.328126,1660857727.328126,333.72687888145447,334.130318926,1,0.201719045639,65.6800722705,160.65907566,65.6800722705,160.65907566,0,0,0.07424409459486629,1,1,0,0,4a751ffdeabab7b3,25309,296,local_imu_rotation_prior,1
legacy,1660857727.4289851,1660857727.428985,333.8277380466461,334.231178026,1,0.201719045639,65.5892457344,160.45994529,65.5892457344,160.45994529,0,0,0.0903042273660647,1,1,0,0,5ea68ec657a180dc,26300,304,local_imu_rotation_prior,1
legacy,1660857727.529845,1660857727.529845,333.9285979270935,334.332037926,1,0.201719999313,65.5187811434,158.451183589,65.5187811434,158.451183589,0,0,0.10707607495237645,3,1,0,0,8f84c83e486f63c8,27043,311,local_imu_rotation_prior,1
legacy,1660857727.6307051,1660857727.630705,334.0294580459595,334.432898026,1,0.201719999313,65.6389234373,152.073948287,65.6408421359,153.987436007,0,2.68467838846,0.1110268504716814,7,1,0,1,93efb07066e3edeb,27398,333,local_imu_rotation_prior,1
legacy,1660857727.731565,1660857727.731565,334.13031792640686,334.533757926,1,0.201720237732,65.6897321094,154.633452982,65.6897321094,154.633452982,0,0,0.10404982880031322,4,1,0,0,55d7725496436387,27616,344,local_imu_rotation_prior,1
legacy,1660857727.8324251,1660857727.832425,334.2311780452728,334.634618026,1,0.201720237732,65.5641719919,143.286343042,65.6132469399,151.135690263,0.445933053213,13.8338014726,0.06054901834211072,13,1,1,1,cadad4df567552d4,27832,356,local_imu_rotation_prior,1
legacy,1660857727.933285,1660857727.933285,334.3320379257202,334.735477926,1,0.201720237732,65.7325198846,149.786500036,65.7325198846,149.786500036,0,0,0.060955256252863486,5,1,0,0,b344c31798476ea7,27741,359,local_imu_rotation_prior,1
legacy,1660857728.034081,1660857728.034081,334.4328339099884,334.836273926,1,0.201655864716,65.590302579,144.635856551,65.5894912847,146.755978079,0,3.45955745055,0.06294991492733638,8,1,0,1,cb717a633353658b,27706,361,local_imu_rotation_prior,1
legacy,1660857728.1349411,1660857728.134941,334.53369402885437,334.937134026,1,0.201719999313,65.5823707584,146.043018171,65.5823707584,146.043018171,0,0,0.06075350115816964,4,1,0,0,479620893ae27067,27686,343,local_imu_rotation_prior,1
legacy,1660857728.235801,1660857728.235801,334.63455390930176,335.037993926,1,0.201719999313,65.5575161833,142.263976639,65.5575161833,142.263976639,0,0,0.06262852900949104,3,1,0,0,735a19406bc165c4,27690,353,local_imu_rotation_prior,1
legacy,1660857728.3366611,1660857728.336661,334.7354140281677,335.138854026,1,0.201719999313,65.5182017456,142.264334863,65.5182017456,142.264334863,0,1.20741826973e-06,0.06499215688900913,2,1,0,0,1f6a05f64a202187,27684,342,local_imu_rotation_prior,1
legacy,1660857728.437521,1660857728.437521,334.8362739086151,335.239713926,1,0.201719999313,65.5005138162,142.253458716,65.5005138162,142.253458716,0,1.20741826973e-06,0.06607916769610193,1,1,0,0,82f92de2fa1e159e,27724,362,local_imu_rotation_prior,1
legacy,1660857728.5383811,1660857728.538381,334.9371340274811,335.340574026,1,0.201719999313,65.4758086194,142.359380433,65.4758086194,142.359380433,0,0,0.06522708674256088,1,1,0,0,14175507a45aa6bc,27725,373,local_imu_rotation_prior,1
